policy_id,customer_id,policy_type,premium_amount,coverage_amount,policy_start_date,policy_end_date,policy_status,policy_risk_level
POL_638494,CUST_639593,auto,626,25000,2019-03-14,2020-12-23,inactive,medium
POL_343136,CUST_130271,auto,1358,25000,2022-08-12,2024-11-16,active,medium
POL_350214,CUST_678043,life,1060,187500,2018-08-14,2021-03-23,active,low
POL_508654,CUST_678043,auto,2495,25000,2024-06-04,2026-05-20,active,high
POL_162085,CUST_664742,auto,2219,25000,2020-03-10,2021-09-09,inactive,medium
POL_516243,CUST_664742,home,2000,100000,2021-11-23,2023-01-04,active,high
POL_855827,CUST_138817,life,1295,150000,2019-04-10,2022-02-27,inactive,medium
POL_801960,CUST_138817,home,2374,100000,2020-11-04,2022-08-10,active,medium
POL_377229,CUST_853629,health,759,70000,2020-10-21,2023-06-07,active,low
POL_933368,CUST_853629,life,711,150000,2018-04-22,2019-05-26,inactive,high
POL_615558,CUST_493049,health,1146,94500,2024-05-22,2026-06-10,active,medium
POL_250767,CUST_943718,life,2434,180000,2018-08-28,2020-10-22,active,low
POL_830361,CUST_410244,health,3288,94500,2022-01-25,2023-05-27,active,medium
POL_718912,CUST_410244,home,1259,110000,2022-03-22,2024-07-18,active,low
POL_648416,CUST_751051,life,2787,180000,2018-04-23,2020-04-02,active,medium
POL_935271,CUST_310548,health,1652,94500,2021-01-13,2023-12-09,active,low
POL_619320,CUST_859396,health,1053,70000,2020-01-06,2021-02-07,active,low
POL_147448,CUST_859396,life,2347,150000,2018-11-19,2021-10-20,active,medium
POL_589457,CUST_443939,health,1795,87500,2019-08-11,2022-03-07,active,medium
POL_631273,CUST_443939,auto,1765,25000,2024-09-13,2026-08-19,inactive,high
POL_272378,CUST_575679,health,1117,87500,2023-06-17,2025-04-12,active,high
POL_911338,CUST_204180,home,2189,110000,2018-12-03,2021-04-13,active,medium
POL_655524,CUST_681128,health,2315,70000,2023-04-14,2026-02-25,active,medium
POL_160139,CUST_681128,life,2456,150000,2023-08-21,2026-01-30,active,low
POL_784631,CUST_116547,life,712,150000,2020-04-26,2021-05-29,active,medium
POL_317975,CUST_774591,auto,852,25000,2024-07-05,2025-12-06,active,high
POL_320593,CUST_931621,auto,955,25000,2019-11-05,2021-04-04,active,medium
POL_934307,CUST_931621,home,1511,100000,2021-01-09,2022-10-29,active,high
POL_296204,CUST_260053,auto,2142,25000,2020-09-18,2023-06-24,active,medium
POL_675551,CUST_797660,health,1284,84000,2024-11-01,2026-12-14,active,medium
POL_277540,CUST_797660,life,1606,180000,2019-03-26,2022-03-25,active,medium
POL_761652,CUST_986209,health,963,94500,2022-02-09,2024-01-07,active,medium
POL_790685,CUST_986209,auto,841,27500,2020-10-11,2022-04-30,active,high
POL_412302,CUST_882354,home,1669,100000,2019-06-26,2020-10-26,active,high
POL_969544,CUST_534303,health,1280,70000,2022-04-29,2025-01-15,active,high
POL_498516,CUST_621546,health,2565,87500,2023-04-24,2026-03-09,active,low
POL_794153,CUST_621546,life,753,187500,2024-11-06,2027-01-17,active,high
POL_186553,CUST_121869,auto,1829,25000,2020-12-15,2022-10-11,inactive,high
POL_613048,CUST_763984,health,2540,87500,2020-12-22,2022-07-13,active,medium
POL_534568,CUST_763984,auto,2275,25000,2024-12-06,2027-10-13,active,medium
POL_315571,CUST_691912,auto,2393,25000,2021-09-14,2022-09-24,active,medium
POL_573016,CUST_691912,home,1346,100000,2019-11-21,2021-07-21,active,low
POL_947768,CUST_849014,health,2552,87500,2021-01-04,2022-12-03,active,medium
POL_189157,CUST_849014,life,648,187500,2022-01-03,2023-04-01,active,high
POL_889296,CUST_505341,health,2142,87500,2022-07-16,2024-06-07,active,medium
POL_523896,CUST_505341,auto,1999,25000,2020-02-02,2022-12-22,active,medium
POL_953778,CUST_494976,life,2347,202500,2019-04-18,2020-07-04,active,medium
POL_732061,CUST_926403,health,2234,101500,2020-01-07,2021-12-27,active,high
POL_180927,CUST_926403,life,1232,217500,2020-01-02,2022-08-19,active,medium
POL_237091,CUST_349068,home,1722,100000,2019-07-26,2020-12-21,active,high
POL_369743,CUST_734035,auto,790,25000,2020-10-07,2023-04-19,inactive,low
POL_190847,CUST_734035,home,1630,100000,2023-05-14,2025-06-16,active,medium
POL_267643,CUST_332823,home,1329,100000,2023-06-08,2024-11-19,active,high
POL_958005,CUST_829884,health,1029,70000,2022-01-31,2024-07-17,active,high
POL_553917,CUST_829884,life,2500,150000,2020-08-22,2022-11-11,active,low
POL_795093,CUST_932463,life,2360,232500,2020-06-04,2022-01-30,active,medium
POL_636078,CUST_932463,home,776,130000,2020-03-07,2022-07-03,active,low
POL_973677,CUST_478120,life,1433,165000,2019-04-06,2021-03-31,active,high
POL_647826,CUST_478120,auto,1680,25000,2022-05-13,2024-07-10,active,medium
POL_123205,CUST_870899,health,1283,70000,2018-04-07,2020-10-13,active,medium
POL_153321,CUST_870899,life,1705,150000,2021-10-07,2023-06-08,active,low
POL_482306,CUST_143941,health,601,70000,2019-08-10,2021-12-18,active,low
POL_953763,CUST_143941,life,1761,150000,2022-08-03,2025-06-07,active,low
POL_262936,CUST_295892,life,1075,150000,2018-01-24,2020-10-18,active,high
POL_940668,CUST_565471,life,630,165000,2020-06-28,2022-10-04,active,low
POL_943554,CUST_565471,auto,1146,27500,2019-04-02,2020-11-08,active,medium
POL_968045,CUST_811027,health,1200,77000,2019-12-25,2022-05-18,active,high
POL_527441,CUST_484774,health,1062,77000,2019-08-13,2022-07-14,active,high
POL_443648,CUST_615060,health,2619,94500,2021-02-14,2023-09-21,active,medium
POL_740411,CUST_615060,home,905,110000,2022-09-03,2024-01-09,active,low
POL_866469,CUST_348235,auto,1992,25000,2020-10-06,2022-11-14,active,high
POL_888533,CUST_571832,health,2514,77000,2020-05-27,2021-10-18,inactive,medium
POL_189624,CUST_644103,life,560,150000,2019-12-14,2022-05-24,active,high
POL_761258,CUST_782759,health,2197,70000,2023-08-20,2024-12-04,active,high
POL_718161,CUST_782759,home,1352,100000,2023-08-15,2024-09-09,inactive,high
POL_688573,CUST_853258,life,2177,150000,2024-09-22,2027-03-23,active,high
POL_513177,CUST_853258,home,627,100000,2020-05-01,2021-12-23,active,high
POL_445306,CUST_267457,health,1077,87500,2021-01-05,2022-11-10,active,low
POL_242696,CUST_983791,life,880,150000,2024-10-02,2026-06-24,active,medium
POL_837922,CUST_572230,auto,1500,25000,2019-07-03,2022-06-08,active,high
POL_206858,CUST_579187,health,1946,70000,2020-01-30,2021-06-29,active,medium
POL_914894,CUST_579187,home,1213,100000,2021-08-04,2022-09-24,active,low
POL_915074,CUST_422623,health,1303,70000,2024-06-27,2026-01-05,active,low
POL_479051,CUST_422623,home,1660,100000,2022-12-18,2024-09-02,inactive,low
POL_954393,CUST_119857,life,842,187500,2022-06-05,2024-05-16,active,high
POL_673199,CUST_119857,auto,2098,25000,2022-09-25,2023-09-29,active,medium
POL_921314,CUST_855944,life,855,150000,2021-04-28,2023-12-26,active,medium
POL_545888,CUST_855944,home,2299,100000,2020-03-27,2022-11-12,active,medium
POL_439431,CUST_934042,home,2381,110000,2021-10-28,2024-02-15,active,low
POL_602165,CUST_384303,auto,1813,25000,2022-06-07,2024-04-14,active,low
POL_322504,CUST_384303,home,2499,100000,2023-09-29,2024-12-24,active,low
POL_872610,CUST_908206,health,1848,70000,2019-09-28,2021-04-12,active,high
POL_375868,CUST_908206,home,743,100000,2018-12-24,2021-06-26,active,medium
POL_327868,CUST_138105,health,1175,70000,2018-08-11,2020-10-04,inactive,medium
POL_926034,CUST_446747,life,2278,202500,2023-09-15,2025-08-28,active,low
POL_478186,CUST_446747,auto,2734,27500,2022-09-19,2025-07-14,active,medium
POL_725942,CUST_360096,health,1769,70000,2024-07-05,2025-09-20,active,medium
POL_164426,CUST_360096,life,2189,150000,2022-12-19,2025-02-06,active,high
POL_421228,CUST_331577,auto,876,25000,2022-03-30,2024-01-05,active,high
POL_209199,CUST_331577,home,1952,100000,2021-11-24,2024-10-26,active,medium
POL_306676,CUST_630041,health,980,70000,2018-01-19,2019-10-21,active,high
POL_208618,CUST_122827,auto,1015,25000,2021-04-30,2024-01-11,inactive,medium
POL_590647,CUST_122827,home,818,100000,2019-05-06,2021-09-26,active,medium
POL_289903,CUST_772687,health,2580,87500,2021-01-24,2022-06-24,active,low
POL_777074,CUST_772687,life,877,187500,2021-05-20,2022-10-01,active,low
POL_301115,CUST_412856,life,2806,195000,2024-08-15,2026-12-19,active,high
POL_343872,CUST_412856,auto,895,32500,2024-06-18,2025-07-16,active,medium
POL_205839,CUST_804667,health,1760,87500,2023-02-02,2025-01-01,active,low
POL_347894,CUST_804667,home,1855,100000,2022-02-05,2024-08-11,active,high
POL_346572,CUST_792282,life,1645,150000,2023-09-05,2025-04-02,active,low
POL_317338,CUST_792282,home,1470,100000,2021-05-07,2023-03-24,active,high
POL_781771,CUST_352673,life,2457,150000,2020-06-10,2022-05-01,active,medium
POL_168617,CUST_352673,home,1998,100000,2021-04-22,2022-12-08,active,high
POL_763524,CUST_859782,home,1400,100000,2024-10-15,2027-09-04,inactive,low
POL_896603,CUST_621433,life,2912,187500,2020-08-01,2022-02-17,inactive,medium
POL_475935,CUST_621433,home,1034,100000,2018-12-15,2021-12-02,active,medium
POL_764544,CUST_973844,health,2840,87500,2020-09-22,2023-07-08,inactive,high
POL_212986,CUST_532424,health,2435,70000,2021-08-18,2023-06-23,active,medium
POL_822823,CUST_400614,health,2354,77000,2024-05-29,2025-10-20,active,high
POL_697281,CUST_400614,home,881,110000,2024-01-19,2025-06-03,active,high
POL_910020,CUST_414546,health,2140,87500,2020-11-09,2022-10-24,inactive,high
POL_463406,CUST_414546,life,2385,187500,2023-09-30,2025-08-05,active,medium
POL_820047,CUST_340927,auto,742,25000,2022-09-07,2025-04-15,active,low
POL_547972,CUST_809922,health,2049,70000,2023-10-08,2025-01-02,active,high
POL_734437,CUST_809922,life,860,150000,2021-04-16,2023-12-18,active,low
POL_865094,CUST_614435,health,789,77000,2021-08-12,2023-04-23,inactive,medium
POL_554681,CUST_506637,auto,1312,27500,2020-06-07,2022-11-18,active,low
POL_404912,CUST_363926,life,2638,187500,2023-03-24,2026-03-01,active,medium
POL_434199,CUST_363926,auto,667,25000,2022-10-25,2023-11-05,active,medium
POL_888886,CUST_723266,life,1092,165000,2018-03-23,2020-07-30,active,high
POL_592432,CUST_723266,home,2336,110000,2020-08-28,2022-09-23,active,low
POL_104258,CUST_519029,life,760,150000,2020-11-29,2023-04-08,active,medium
POL_943671,CUST_519029,auto,1740,25000,2022-03-16,2023-11-16,active,low
POL_417275,CUST_606222,auto,856,25000,2023-12-06,2026-08-06,active,low
POL_247248,CUST_606222,home,1857,100000,2024-12-21,2027-03-27,active,high
POL_386106,CUST_459743,health,1372,70000,2019-07-31,2020-09-21,active,low
POL_168350,CUST_459743,auto,1635,25000,2024-11-15,2026-06-03,active,high
POL_678765,CUST_873207,life,2764,202500,2022-03-25,2024-06-21,inactive,high
POL_823778,CUST_248225,health,1426,70000,2024-04-05,2026-05-04,active,medium
POL_737044,CUST_248225,home,1506,100000,2018-02-28,2019-06-27,inactive,low
POL_575058,CUST_304607,auto,1807,25000,2020-10-07,2022-02-07,active,medium
POL_978630,CUST_304607,home,1168,100000,2020-12-02,2023-01-06,active,low
POL_986756,CUST_276379,auto,1389,25000,2020-08-16,2023-02-21,active,high
POL_732297,CUST_571578,health,2348,70000,2018-07-20,2020-03-08,inactive,medium
POL_395008,CUST_571578,auto,757,25000,2023-05-07,2025-04-15,active,medium
POL_160205,CUST_439375,health,1751,87500,2024-08-09,2027-05-18,active,high
POL_792142,CUST_968726,life,1102,150000,2019-06-15,2021-06-13,active,low
POL_810120,CUST_197666,life,1762,150000,2020-03-16,2022-05-08,active,high
POL_437775,CUST_148174,home,615,100000,2021-09-14,2024-07-06,active,low
POL_221515,CUST_489906,life,2076,202500,2020-02-02,2021-08-14,active,low
POL_636600,CUST_489906,home,884,110000,2022-10-18,2025-02-26,active,low
POL_476368,CUST_781595,life,3145,202500,2021-06-18,2023-01-11,active,high
POL_707072,CUST_729153,health,1932,70000,2022-02-03,2024-10-27,active,low
POL_359243,CUST_729153,auto,2284,25000,2023-03-25,2025-05-17,active,high
POL_939746,CUST_623850,home,1241,100000,2022-05-24,2025-05-13,active,high
POL_778589,CUST_170813,health,2013,84000,2021-09-30,2024-09-28,active,high
POL_541380,CUST_714923,health,1052,70000,2022-07-26,2024-02-11,active,medium
POL_583874,CUST_714923,auto,861,25000,2019-02-02,2020-04-20,active,low
POL_767860,CUST_146177,health,2476,70000,2022-02-28,2023-10-03,active,medium
POL_734907,CUST_288056,health,1722,70000,2021-11-22,2023-06-09,active,medium
POL_797804,CUST_288056,auto,2394,25000,2018-07-15,2020-09-22,active,high
POL_234707,CUST_617326,life,1723,165000,2023-08-21,2026-06-24,active,high
POL_736212,CUST_617326,home,1039,100000,2020-08-22,2021-10-23,active,high
POL_449726,CUST_655550,home,1997,100000,2019-09-09,2022-02-23,active,medium
POL_708580,CUST_178465,health,1922,70000,2019-05-13,2021-08-12,active,low
POL_329993,CUST_312559,life,2128,165000,2024-11-29,2026-10-01,active,low
POL_266606,CUST_819380,health,1139,70000,2019-05-02,2021-01-25,active,low
POL_520877,CUST_676843,health,1659,94500,2018-05-16,2020-12-29,active,medium
POL_676974,CUST_948611,health,2225,70000,2021-06-29,2022-11-22,active,medium
POL_915811,CUST_948611,home,1512,100000,2021-06-20,2022-07-13,active,medium
POL_824280,CUST_749253,life,1031,187500,2023-06-10,2026-03-22,active,medium
POL_363703,CUST_608223,home,2641,110000,2020-04-03,2022-04-15,active,medium
POL_574771,CUST_659614,life,1382,150000,2020-08-06,2021-09-26,active,high
POL_436038,CUST_690462,auto,2305,25000,2024-10-24,2027-03-08,active,low
POL_514429,CUST_911982,life,1866,150000,2024-07-15,2025-08-12,active,high
POL_992160,CUST_911982,home,1842,100000,2019-02-08,2021-11-05,active,medium
POL_943837,CUST_743520,health,738,94500,2020-07-24,2022-05-07,active,medium
POL_224092,CUST_743520,auto,781,27500,2018-06-21,2020-03-25,active,high
POL_260369,CUST_741079,life,2217,165000,2018-07-24,2020-12-30,active,high
POL_962899,CUST_101343,health,810,70000,2024-08-03,2025-12-27,active,medium
POL_129758,CUST_101343,life,680,150000,2020-05-12,2023-02-04,active,low
POL_167135,CUST_434198,life,867,150000,2021-12-28,2023-02-11,active,high
POL_969236,CUST_264735,life,760,165000,2020-11-17,2023-10-08,active,medium
POL_464312,CUST_264735,auto,861,25000,2018-08-13,2021-08-07,active,medium
POL_296911,CUST_729371,health,1159,70000,2023-05-27,2025-10-24,active,high
POL_461687,CUST_729371,life,1765,150000,2024-11-16,2027-04-06,active,medium
POL_670620,CUST_489043,health,1938,70000,2021-07-07,2023-07-27,active,medium
POL_305080,CUST_680493,auto,1080,25000,2022-04-15,2023-12-08,active,low
POL_422477,CUST_680493,home,2186,100000,2024-04-04,2026-10-13,inactive,high
POL_144085,CUST_322182,health,3069,94500,2018-09-29,2021-05-05,active,low
POL_686315,CUST_534574,health,1960,70000,2020-03-29,2021-05-22,active,low
POL_542749,CUST_827356,health,1103,70000,2018-06-18,2019-10-16,active,low
POL_999363,CUST_827356,home,1330,100000,2020-11-09,2023-09-17,active,high
POL_483925,CUST_436454,health,1038,70000,2018-06-18,2020-01-10,active,high
POL_608899,CUST_436454,home,2024,100000,2021-04-05,2022-08-04,active,high
POL_398535,CUST_918430,health,1491,70000,2020-03-07,2021-10-01,active,high
POL_974777,CUST_612530,home,1907,100000,2018-06-23,2021-06-12,active,medium
POL_755940,CUST_783238,life,727,150000,2019-09-15,2020-12-25,active,high
POL_117691,CUST_416822,life,908,165000,2022-04-18,2025-03-04,active,medium
POL_170284,CUST_416822,auto,1862,25000,2019-11-07,2021-06-19,active,high
POL_807958,CUST_845635,auto,2401,25000,2023-11-05,2025-02-28,active,low
POL_941400,CUST_845635,home,1854,100000,2018-04-22,2020-10-30,active,low
POL_684171,CUST_459836,auto,815,25000,2020-08-22,2023-02-27,inactive,low
POL_602957,CUST_422002,life,2317,150000,2024-06-22,2027-05-19,active,low
POL_737690,CUST_422002,auto,2077,25000,2021-12-28,2024-04-01,active,medium
POL_383568,CUST_156688,health,1090,77000,2022-09-29,2024-08-11,active,high
POL_814711,CUST_901619,health,630,70000,2024-10-17,2027-08-19,inactive,low
POL_293794,CUST_757128,auto,1214,25000,2023-01-23,2026-01-02,active,high
POL_511196,CUST_476701,life,1300,150000,2024-05-05,2027-04-23,active,low
POL_626593,CUST_476701,auto,1127,25000,2019-10-05,2021-05-29,active,high
POL_336431,CUST_794125,health,1037,70000,2019-08-13,2020-10-09,inactive,low
POL_374041,CUST_794125,auto,1472,25000,2024-12-26,2026-03-13,active,medium
POL_124714,CUST_383091,auto,520,25000,2024-09-29,2027-07-19,active,high
POL_245164,CUST_674765,auto,980,27500,2022-02-04,2024-06-08,active,high
POL_456506,CUST_410401,health,3148,94500,2020-09-16,2023-06-07,active,low
POL_501547,CUST_795578,health,2016,84000,2019-01-03,2020-01-28,inactive,high
POL_293264,CUST_985364,auto,1484,25000,2020-05-22,2022-11-05,active,medium
POL_897984,CUST_838793,health,1286,70000,2021-08-03,2023-03-12,inactive,medium
POL_414518,CUST_838793,life,1606,150000,2019-12-31,2022-12-08,active,high
POL_838530,CUST_619920,health,1297,70000,2024-11-27,2027-07-08,active,low
POL_461852,CUST_568784,health,1080,77000,2022-01-23,2024-08-05,inactive,high
POL_101693,CUST_568784,home,1178,100000,2018-04-22,2019-07-06,active,high
POL_425165,CUST_878579,health,2986,87500,2022-01-31,2024-12-25,active,medium
POL_723518,CUST_878579,home,2084,100000,2021-06-23,2023-11-08,active,low
POL_209941,CUST_623059,health,508,70000,2018-08-22,2020-08-31,active,high
POL_297950,CUST_386886,life,2951,202500,2023-03-25,2024-04-07,active,high
POL_444148,CUST_386886,home,852,110000,2023-01-26,2025-05-07,active,high
POL_884558,CUST_628370,auto,1753,25000,2021-11-11,2023-07-26,active,high
POL_702061,CUST_628370,home,1722,100000,2023-12-10,2025-08-12,inactive,low
POL_106539,CUST_309612,health,553,70000,2020-05-05,2021-11-01,inactive,high
POL_770988,CUST_309612,auto,1061,25000,2018-08-02,2020-03-24,active,medium
POL_257476,CUST_296059,life,768,150000,2018-10-04,2019-11-29,active,high
POL_442603,CUST_296059,auto,1429,25000,2021-10-31,2024-02-01,active,medium
POL_325029,CUST_676884,health,2311,70000,2019-09-30,2021-12-14,inactive,medium
POL_547058,CUST_676884,auto,614,25000,2023-07-16,2026-03-28,active,high
POL_266053,CUST_329056,life,2733,202500,2018-04-05,2019-10-07,active,medium
POL_976278,CUST_641975,health,711,70000,2022-10-25,2025-01-14,active,high
POL_612860,CUST_641975,home,1775,100000,2019-04-29,2020-10-13,active,medium
POL_417608,CUST_976258,life,1355,150000,2020-05-01,2021-12-06,active,medium
POL_285685,CUST_573039,health,1681,70000,2021-11-24,2024-06-21,active,high
POL_517082,CUST_573039,auto,1775,25000,2022-06-18,2024-06-10,inactive,low
POL_860609,CUST_263917,health,630,70000,2019-12-02,2022-08-05,active,medium
POL_418709,CUST_263917,life,2230,150000,2024-07-17,2027-02-17,active,medium
POL_318146,CUST_663244,health,653,70000,2023-08-04,2025-08-11,active,medium
POL_844457,CUST_887524,health,1375,70000,2023-01-25,2025-08-15,active,low
POL_471084,CUST_887524,life,1214,150000,2021-04-11,2023-09-13,inactive,high
POL_537983,CUST_433222,health,1858,94500,2023-08-01,2025-10-21,inactive,high
POL_620787,CUST_566991,life,1233,150000,2021-08-17,2024-07-10,active,medium
POL_526595,CUST_566991,auto,1980,25000,2019-04-27,2021-11-21,active,medium
POL_728177,CUST_323095,health,2427,70000,2022-06-12,2024-09-29,active,high
POL_169856,CUST_945718,home,2085,100000,2021-02-21,2023-02-01,active,low
POL_746179,CUST_929906,health,1266,70000,2018-01-22,2019-12-08,active,low
POL_627517,CUST_929906,life,2288,150000,2021-09-19,2023-11-15,inactive,medium
POL_375083,CUST_181618,home,505,100000,2019-11-10,2022-01-17,active,medium
POL_148639,CUST_956639,auto,2460,25000,2024-12-03,2026-12-03,active,high
POL_516734,CUST_700067,life,1940,180000,2021-05-11,2024-04-15,active,medium
POL_631856,CUST_275868,life,2439,165000,2022-05-16,2023-12-27,active,high
POL_489315,CUST_921945,life,2311,165000,2020-01-22,2022-06-21,active,low
POL_900090,CUST_898531,life,2457,187500,2022-09-07,2024-01-30,active,medium
POL_770457,CUST_898531,home,1176,100000,2019-10-29,2020-11-25,active,high
POL_293402,CUST_821175,health,823,70000,2019-12-17,2021-04-07,active,low
POL_856427,CUST_705711,health,1649,70000,2024-07-07,2027-05-26,active,medium
POL_616538,CUST_705711,home,1043,100000,2022-04-15,2023-08-30,active,medium
POL_636341,CUST_252387,life,998,150000,2019-01-28,2020-11-23,active,medium
POL_196060,CUST_942960,life,1039,150000,2023-04-15,2026-01-19,active,medium
POL_389195,CUST_211636,auto,1872,25000,2024-09-12,2026-08-14,active,medium
POL_865593,CUST_926965,auto,2043,25000,2024-09-16,2026-05-20,active,high
POL_624521,CUST_926965,home,1141,100000,2020-07-18,2022-06-22,active,high
POL_743964,CUST_382146,health,1375,87500,2024-10-05,2027-09-03,active,low
POL_898810,CUST_382146,auto,1387,25000,2020-07-01,2022-06-22,active,high
POL_239953,CUST_743644,health,2465,94500,2021-10-23,2023-03-18,active,high
POL_236052,CUST_601554,health,2161,77000,2021-08-10,2022-10-30,active,low
POL_194177,CUST_675210,health,1837,77000,2018-09-27,2021-04-10,active,medium
POL_361544,CUST_675210,life,2052,165000,2024-06-13,2026-09-24,active,low
POL_350417,CUST_997904,life,900,180000,2024-10-23,2026-12-30,active,low
POL_739799,CUST_162952,home,1367,100000,2024-05-01,2026-11-07,active,high
POL_801970,CUST_872303,life,697,150000,2018-08-09,2020-06-26,inactive,low
POL_888441,CUST_734792,auto,1077,25000,2021-08-12,2024-04-22,active,medium
POL_574254,CUST_596171,life,1800,150000,2024-12-08,2027-10-09,active,high
POL_479739,CUST_237654,auto,2717,27500,2018-04-25,2021-04-15,active,high
POL_374438,CUST_691380,home,1505,100000,2023-10-31,2025-05-30,active,high
POL_193335,CUST_460589,health,1204,77000,2021-01-21,2022-07-12,active,low
POL_633645,CUST_508654,life,2162,165000,2018-03-10,2021-01-30,active,medium
POL_671833,CUST_508654,home,2382,110000,2023-10-06,2025-04-14,active,high
POL_697975,CUST_403662,life,2396,150000,2021-08-05,2023-05-09,inactive,low
POL_440191,CUST_362227,health,2206,70000,2022-12-20,2024-06-15,active,medium
POL_450847,CUST_362227,auto,571,25000,2021-06-27,2022-10-27,active,low
POL_487627,CUST_515035,home,1741,100000,2020-04-19,2022-07-31,active,medium
POL_968639,CUST_835395,health,2259,77000,2018-01-10,2020-04-07,active,high
POL_521446,CUST_613898,auto,1276,25000,2018-05-02,2021-03-30,active,low
POL_218221,CUST_613898,home,2359,100000,2024-08-01,2026-05-10,active,low
POL_956839,CUST_998450,home,2057,100000,2019-02-16,2020-08-09,active,high
POL_498330,CUST_287316,health,1037,70000,2024-03-29,2025-10-24,active,high
POL_970078,CUST_287316,home,1141,100000,2022-01-14,2024-09-07,inactive,medium
POL_872864,CUST_590795,health,1602,70000,2023-06-08,2025-09-24,inactive,low
